CalfID,Pen,Block,Season_x,Phenotype,Growth,Milk,MBW,ADG,ODMI,PDMI,RFI,GF,PADG,RADG,DamID,Sire,Genotype,Sex,Day,Timepoint,Season_y,Year,Weight (kg),ConA Proliferation Index,LPS Proliferation Index,PWM Proliferation Index,Plasma Cortisol (ng/ml),IgG1 (ng/ml),IgG2 (ng/ml),IgM (ng/ml),IgG1 to IgG2,Total IgG (ng/ml),WBC,NEU,LYM,NLR,MONO,EOS,BAS,NEU%,LYM%,MONO%,EOS%,BAS%,RBC,HGB,HCT,MCV,MCH,MCHC,RDW%,PLT,MPV,IFNy,IL1a,IL1B,IL4,IL6,IL10,IL17A,MIP1alpha,IL36R,IP10,MCP1,MIP1b,TNFa,VEGFa,BHV1,BHV1_Log,BVDV1,BVDV1_Log,BRSV,BRSV_Log
2555,4,2304,Fall,HL,H,L,92.62563113,1.746753247,14.18591549,13.89916948,0.286746012,0.123132923,1.137597279,0.609155968,6809,Fortune,HL,S,Brand,1,Fall,2022,121.5,1.1460935845860682,.,.,12.56,14.569021587,6.56108896,1.156744721,2.2205188309167507,21.130110547,11.82,1.67,9.42,0.17728237791932058,0.61,0.1,0.02,14.1,79.7,5.1,0.9,0.2,11.51,13.3,38.8,33.7,11.5,34.2,23.1,626,5.1,8.28,0.001,0.001,13.31,0.001,80.89,1.56,29.13,144.22,1433.48,481.55,61.19,130.36,96.32,64,6,512,9,.,.
2555,4,2304,Fall,HL,H,L,92.62563113,1.746753247,14.18591549,13.89916948,0.286746012,0.123132923,1.137597279,0.609155968,6809,Fortune,HL,S,Wean,2,Fall,2022,155.25,.,.,.,45.14,10.848724389000001,8.264393286999999,3.646368367,1.3127066939160785,19.113117676,14,5.72,7.4,0.7729729729729728,0.65,0.19,0.04,40.8,52.9,4.7,1.3,0.3,8.33,10.9,30.6,36.7,13,35.5,27.8,573,5.3,2.32,24.6,0.001,27.28,19.32,123.87,5.51,141.56,186.64,985.43,688.08,89.73,1292.53,164.34,8,3,32,5,.,.
2555,4,2304,Fall,HL,H,L,92.62563113,1.746753247,14.18591549,13.89916948,0.286746012,0.123132923,1.137597279,0.609155968,6809,Fortune,HL,S,14DPW,3,Fall,2022,171,0.963032581453634,1.083518930957684,1.0426436308789249,22.86,11.740393126,9.211335861,2.9306892999999996,1.2745592282339644,20.951728987000003,10.3,3.73,6,0.6216666666666667,0.39,0.13,0.05,36.2,58.3,3.7,1.3,0.5,8.4,10.8,31.4,37.3,12.9,34.6,25.6,869,5.6,1.74,5.42,0.001,16.83,0.001,74.4,5.73,86.3,96.32,692.12,556.41,90.09,186.82,113.13,<4,0,32,5,.,.
2555,4,2304,Fall,HL,H,L,92.62563113,1.746753247,14.18591549,13.89916948,0.286746012,0.123132923,1.137597279,0.609155968,6809,Fortune,HL,S,60DPW,4,Fall,2022,209.70000000000002,1.014060742407199,1.7513321492007108,0.6506147540983607,20.78,12.724232524,10.583004654,3.151902871,1.2023270271539275,23.307237178,10.11,1.97,7.08,0.2782485875706215,0.47,0.55,0.04,19.5,70,4.6,5.5,0.4,8.1,11.4,30.8,38,14.1,37.1,21.2,578,5.1,0.96,3.19,16.39,53.61,0.001,32.81,3.52,25.52,134.83,400.34,324.63,34.89,172.77,100.87,<4,0,64,6,.,.
2555,4,2304,Fall,HL,H,L,92.62563113,1.746753247,14.18591549,13.89916948,0.286746012,0.123132923,1.137597279,0.609155968,6809,Fortune,HL,S,28DF,5,Fall,2022,266.40000000000003,3.536427415002698,5.290243151738995,0.3633355393778955,11.01,12.091737452,13.898789192,2.3025713590000003,0.8699849522834607,25.990526644,9.8,3.64,4.99,0.7294589178356713,0.93,0.2,0.04,37.1,50.9,9.5,2.1,0.4,7.22,9.7,27.5,38.1,13.5,35.3,22.4,404,6.5,2.68,5.3,0.001,49.51,23.58,149.07,0.19,58.32,70.05,530.91,446.26,162.35,312.18,149.8,<4,0,128,7,.,.
2558,4,2304,Fall,HH,H,H,92.77628276,1.298701299,14.00142857,13.46765337,0.533775203,0.092754914,1.137383328,0.16131797,7565,Enhance,HH,S,Brand,1,Fall,2022,128.25,0.7148171109733417,0.7654320987654322,1.0177731312075273,.,.,.,.,.,.,9.94,2.34,7.12,0.3286516853932584,0.36,0.09,0.03,23.6,71.6,3.6,0.9,0.3,9.32,11.5,32.1,34.5,12.3,35.8,23.1,717,5.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2558,4,2304,Fall,HH,H,H,92.77628276,1.298701299,14.00142857,13.46765337,0.533775203,0.092754914,1.137383328,0.16131797,7565,Enhance,HH,S,Wean,2,Fall,2022,198,0.6723237597911227,1.1453541858325669,0.7155797101449275,.,.,.,.,.,.,10.11,1.79,7.48,0.23930481283422458,0.44,0.37,0.03,17.7,74,4.4,3.6,0.3,8.56,11,31,36.2,12.8,35.4,24.9,775,5.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2558,4,2304,Fall,HH,H,H,92.77628276,1.298701299,14.00142857,13.46765337,0.533775203,0.092754914,1.137383328,0.16131797,7565,Enhance,HH,S,14DPW,3,Fall,2022,198,0.7838416939752961,1.2029571767331566,1.214441377306407,.,.,.,.,.,.,9.2,3.06,5.57,0.5493716337522442,0.45,0.09,0.03,33.3,60.5,4.9,1,0.3,8.02,10.1,29.1,36.2,12.6,34.7,24.2,1031,5.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2558,4,2304,Fall,HH,H,H,92.77628276,1.298701299,14.00142857,13.46765337,0.533775203,0.092754914,1.137383328,0.16131797,7565,Enhance,HH,S,60DPW,4,Fall,2022,234,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2558,4,2304,Fall,HH,H,H,92.77628276,1.298701299,14.00142857,13.46765337,0.533775203,0.092754914,1.137383328,0.16131797,7565,Enhance,HH,S,28DF,5,Fall,2022,280.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2561,3,2304,Fall,HL,H,L,84.20735213,1.857142857,10.81267606,12.93923362,-2.126557567,0.17175608,1.099831542,0.757311315,7562,Oasis,HL,S,Brand,1,Fall,2022,126,.,.,.,.,.,.,.,.,.,14.57,2.09,11.71,0.17847993168232276,0.56,0.14,0.07,14.3,80.4,3.8,1,0.5,10.68,11.8,34,31.8,11,34.7,21,458,4.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2561,3,2304,Fall,HL,H,L,84.20735213,1.857142857,10.81267606,12.93923362,-2.126557567,0.17175608,1.099831542,0.757311315,7562,Oasis,HL,S,Wean,2,Fall,2022,180,.,.,.,.,.,.,.,.,.,17.86,2.29,14.5,0.15793103448275864,0.73,0.31,0.03,12.8,81.2,4.1,1.7,0.2,9.52,11.1,31.5,33.1,11.6,35.2,22.3,397,5.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
